founded_year,founder_education_score,article_mentions,sentiment_score,countries_operating,recent_milestone,description,startup_id,problem_addressed,key_metrics,country,founder_network_score,valuation_usd,user_satisfaction_score,market_size_estimate,sector,months_in_operation,keyword_relevance_score,customer_testimonials,investor_readiness_score,social_media_followers,founder_name,founder_experience_years,media_coverage_count,problem_country_alignment,team_size,data_source,startup_name,funding_raised
2019,6.6,7,0.5,3,Raised $1.2M in recent funding round,Innovative edtech startup addressing digital payment in Tanzania,SYNTH_0000,Digital Payment,"Operating in 3 countries, 27 team members",Tanzania,6.1,3810493,6.44,21781699,EdTech,6,6.81,7,99.31,1211,Founder_0000,0.2,4,9.57,27,synthetic,Startup_0000,1175816
2018,7.3,3,0.6,4,Raised $9.3M in recent funding round,Innovative logistech startup addressing energy access in Uganda,SYNTH_0001,Energy Access,"Operating in 4 countries, 23 team members",Uganda,7.8,35790550,7.9,33653334,LogisTech,6,5.73,8,100.0,310,Founder_0001,10.2,6,7.57,23,synthetic,Startup_0001,9327354
2017,7.1,7,0.9,2,Raised $1.6M in recent funding round,Innovative insurtech startup addressing energy access in Cameroon,SYNTH_0002,Energy Access,"Operating in 2 countries, 20 team members",Cameroon,6.1,5203469,7.56,13145406,InsurTech,19,8.1,10,91.24,2340,Founder_0002,1.5,8,6.51,20,synthetic,Startup_0002,1597033
2017,7.5,9,0.8,3,Raised $11.9M in recent funding round,Innovative fintech startup addressing financial inclusion in Rwanda,SYNTH_0003,Financial Inclusion,"Operating in 3 countries, 26 team members",Rwanda,9.5,84107339,8.7,9805693,FinTech,8,6.97,10,91.13,229,Founder_0003,2.4,14,9.9,26,synthetic,Startup_0003,11905116
2017,5.2,9,0.7,2,Raised $9.9M in recent funding round,Innovative agritech startup addressing women empowerment in Kenya,SYNTH_0004,Women Empowerment,"Operating in 2 countries, 34 team members",Kenya,7.5,72351354,5.91,18323750,AgriTech,6,8.55,8,42.76,836,Founder_0004,5.0,7,6.23,34,synthetic,Startup_0004,9904292
2022,8.6,14,0.7,4,Raised $0.3M in recent funding round,Innovative insurtech startup addressing financial inclusion in Kenya,SYNTH_0005,Financial Inclusion,"Operating in 4 countries, 20 team members",Kenya,8.1,956102,6.63,45509237,InsurTech,52,6.92,5,63.35,3191,Founder_0005,1.8,9,8.58,20,synthetic,Startup_0005,300901
2023,5.1,7,1.0,1,Raised $8.6M in recent funding round,Innovative agritech startup addressing women empowerment in Nigeria,SYNTH_0006,Women Empowerment,"Operating in 1 countries, 27 team members",Nigeria,7.9,29820170,7.05,4419348,AgriTech,69,7.22,7,87.0,2200,Founder_0006,12.4,11,6.57,27,synthetic,Startup_0006,8555421
2017,8.8,7,0.7,1,Raised $0.8M in recent funding round,Innovative healthtech startup addressing healthcare access in Kenya,SYNTH_0007,Healthcare Access,"Operating in 1 countries, 25 team members",Kenya,4.6,5815297,8.57,32178110,HealthTech,27,8.04,10,79.37,5367,Founder_0007,1.9,4,5.75,25,synthetic,Startup_0007,805767
2021,7.0,8,0.6,4,Raised $15.5M in recent funding round,Innovative cleantech startup addressing supply chain in Rwanda,SYNTH_0008,Supply Chain,"Operating in 4 countries, 29 team members",Rwanda,5.2,116696932,8.59,4342355,CleanTech,6,7.79,4,73.17,1894,Founder_0008,0.2,3,5.7,29,synthetic,Startup_0008,15467872
2019,7.1,10,0.9,8,Raised $4.2M in recent funding round,Innovative fintech startup addressing women empowerment in Senegal,SYNTH_0009,Women Empowerment,"Operating in 8 countries, 28 team members",Senegal,8.0,14179250,7.61,148227121,FinTech,41,7.37,6,83.59,17486,Founder_0009,19.8,9,7.64,28,synthetic,Startup_0009,4176966
2018,8.1,11,0.9,1,Raised $6.2M in recent funding round,Innovative fintech startup addressing education gap in Cameroon,SYNTH_0010,Education Gap,"Operating in 1 countries, 25 team members",Cameroon,4.8,46375876,5.12,77555796,FinTech,15,9.29,3,84.33,12995,Founder_0010,3.9,8,7.56,25,synthetic,Startup_0010,6238510
2020,5.6,9,1.0,3,Raised $1.8M in recent funding round,Innovative cleantech startup addressing youth employment in Cameroon,SYNTH_0011,Youth Employment,"Operating in 3 countries, 31 team members",Cameroon,7.3,7060463,7.35,171516724,CleanTech,6,9.52,6,88.67,3089,Founder_0011,4.8,6,6.05,31,synthetic,Startup_0011,1795724
2017,5.7,6,0.6,4,Raised $0.1M in recent funding round,Innovative insurtech startup addressing women empowerment in Kenya,SYNTH_0012,Women Empowerment,"Operating in 4 countries, 17 team members",Kenya,6.2,672707,7.8,6640002,InsurTech,68,4.89,12,84.47,9859,Founder_0012,5.3,3,6.25,17,synthetic,Startup_0012,76915
2017,8.0,10,0.5,3,Raised $3.7M in recent funding round,Innovative logistech startup addressing agricultural efficiency in Zimbabwe,SYNTH_0013,Agricultural Efficiency,"Operating in 3 countries, 31 team members",Zimbabwe,5.3,17301407,7.11,1913170,LogisTech,6,8.25,2,44.85,1390,Founder_0013,3.0,8,8.05,31,synthetic,Startup_0013,3720859
2021,7.8,7,1.0,5,Raised $7.6M in recent funding round,Innovative ai/ml startup addressing digital payment in Kenya,SYNTH_0014,Digital Payment,"Operating in 5 countries, 25 team members",Kenya,6.9,54915361,7.99,2272210,AI/ML,6,4.75,12,100.0,3238,Founder_0014,3.9,4,8.47,25,synthetic,Startup_0014,7638698
2022,10.0,14,0.9,1,Raised $8.5M in recent funding round,Innovative ai/ml startup addressing youth employment in Uganda,SYNTH_0015,Youth Employment,"Operating in 1 countries, 23 team members",Uganda,6.7,59890986,5.99,742453,AI/ML,15,7.57,5,40.76,2019,Founder_0015,0.1,5,7.49,23,synthetic,Startup_0015,8478196
2015,5.8,7,0.6,1,Raised $3.9M in recent funding round,Innovative fintech startup addressing youth employment in Rwanda,SYNTH_0016,Youth Employment,"Operating in 1 countries, 27 team members",Rwanda,6.3,30425618,7.55,6063320,FinTech,11,7.46,8,72.87,6173,Founder_0016,20.0,3,6.32,27,synthetic,Startup_0016,3949712
2017,7.2,11,0.9,4,Raised $3.6M in recent funding round,Innovative blockchain startup addressing rural connectivity in Uganda,SYNTH_0017,Rural Connectivity,"Operating in 4 countries, 20 team members",Uganda,8.0,28250316,8.34,5170700,Blockchain,30,7.9,9,100.0,10988,Founder_0017,5.1,6,6.07,20,synthetic,Startup_0017,3630078
2021,5.7,10,0.7,1,Raised $2.5M in recent funding round,Innovative blockchain startup addressing women empowerment in Rwanda,SYNTH_0018,Women Empowerment,"Operating in 1 countries, 37 team members",Rwanda,5.1,8847865,7.56,673799,Blockchain,67,7.68,10,72.47,124,Founder_0018,5.3,5,6.84,37,synthetic,Startup_0018,2496324
2017,8.5,14,0.7,2,Raised $0.2M in recent funding round,Innovative logistech startup addressing healthcare access in South Africa,SYNTH_0019,Healthcare Access,"Operating in 2 countries, 27 team members",South Africa,5.6,1188320,8.83,5182738,LogisTech,37,7.13,8,89.71,13743,Founder_0019,13.1,10,8.13,27,synthetic,Startup_0019,200643
2018,7.0,6,0.6,1,Raised $8.3M in recent funding round,Innovative healthtech startup addressing youth employment in Kenya,SYNTH_0020,Youth Employment,"Operating in 1 countries, 26 team members",Kenya,5.7,47404160,6.42,29585235,HealthTech,77,5.27,7,77.39,2576,Founder_0020,3.5,5,6.83,26,synthetic,Startup_0020,8333135
2020,7.8,11,0.5,1,Raised $20.5M in recent funding round,Innovative healthtech startup addressing digital payment in Zimbabwe,SYNTH_0021,Digital Payment,"Operating in 1 countries, 14 team members",Zimbabwe,8.3,84531106,7.81,6575956,HealthTech,10,4.81,4,97.7,3180,Founder_0021,1.0,9,5.41,14,synthetic,Startup_0021,20503320
2020,7.3,6,0.8,5,Raised $3.2M in recent funding round,Innovative insurtech startup addressing agricultural efficiency in Rwanda,SYNTH_0022,Agricultural Efficiency,"Operating in 5 countries, 20 team members",Rwanda,6.3,11263264,6.93,11811466,InsurTech,17,9.38,5,72.44,6489,Founder_0022,13.0,5,7.92,20,synthetic,Startup_0022,3197192
2017,6.8,8,0.6,2,Raised $1.6M in recent funding round,Innovative fintech startup addressing women empowerment in Tanzania,SYNTH_0023,Women Empowerment,"Operating in 2 countries, 20 team members",Tanzania,4.7,11121523,9.15,214927,FinTech,123,5.28,10,100.0,34792,Founder_0023,11.6,5,7.12,20,synthetic,Startup_0023,1559416
2020,8.5,6,0.7,1,Raised $2.0M in recent funding round,Innovative agritech startup addressing healthcare access in Rwanda,SYNTH_0024,Healthcare Access,"Operating in 1 countries, 26 team members",Rwanda,4.9,18852767,6.88,7809037,AgriTech,6,10.0,5,71.36,1421,Founder_0024,7.9,3,6.29,26,synthetic,Startup_0024,1973391
2022,8.3,9,0.6,1,Raised $11.8M in recent funding round,Innovative agritech startup addressing digital payment in Cameroon,SYNTH_0025,Digital Payment,"Operating in 1 countries, 23 team members",Cameroon,7.5,87858017,8.51,7526192,AgriTech,19,6.26,11,100.0,286,Founder_0025,1.7,9,7.62,23,synthetic,Startup_0025,11839232
2016,7.5,9,0.9,2,Raised $4.3M in recent funding round,Innovative edtech startup addressing youth employment in Senegal,SYNTH_0026,Youth Employment,"Operating in 2 countries, 27 team members",Senegal,6.1,14611962,4.69,13010416,EdTech,10,5.95,6,100.0,10621,Founder_0026,2.7,7,6.19,27,synthetic,Startup_0026,4298131
2019,6.7,4,0.8,2,Raised $1.4M in recent funding round,Innovative healthtech startup addressing women empowerment in Tanzania,SYNTH_0027,Women Empowerment,"Operating in 2 countries, 17 team members",Tanzania,7.2,13628142,8.53,1867555,HealthTech,126,7.67,6,84.8,2239,Founder_0027,2.8,8,7.24,17,synthetic,Startup_0027,1432032
2016,6.9,13,0.4,1,Raised $25.3M in recent funding round,Innovative e-commerce startup addressing supply chain in Rwanda,SYNTH_0028,Supply Chain,"Operating in 1 countries, 31 team members",Rwanda,7.0,110414555,9.17,40415568,E-commerce,17,5.97,6,42.36,370,Founder_0028,8.2,7,5.67,31,synthetic,Startup_0028,25263910
2017,5.9,9,0.7,1,Raised $2.9M in recent funding round,Innovative blockchain startup addressing agricultural efficiency in Rwanda,SYNTH_0029,Agricultural Efficiency,"Operating in 1 countries, 26 team members",Rwanda,6.1,22368785,7.47,68765357,Blockchain,108,7.34,8,62.58,1040,Founder_0029,2.7,9,6.65,26,synthetic,Startup_0029,2915316
2021,5.2,4,1.0,1,Raised $1.6M in recent funding round,Innovative insurtech startup addressing financial inclusion in Ghana,SYNTH_0030,Financial Inclusion,"Operating in 1 countries, 32 team members",Ghana,7.0,13721310,7.88,102215607,InsurTech,6,8.66,9,54.2,1125,Founder_0030,5.3,2,6.05,32,synthetic,Startup_0030,1595038
2017,4.0,10,0.4,3,Raised $18.9M in recent funding round,Innovative ai/ml startup addressing healthcare access in Uganda,SYNTH_0031,Healthcare Access,"Operating in 3 countries, 29 team members",Uganda,7.1,68214225,8.66,10990868,AI/ML,6,7.7,9,100.0,8622,Founder_0031,1.6,3,9.28,29,synthetic,Startup_0031,18877608
2016,8.3,12,0.6,1,Raised $2.3M in recent funding round,Innovative insurtech startup addressing agricultural efficiency in Tanzania,SYNTH_0032,Agricultural Efficiency,"Operating in 1 countries, 24 team members",Tanzania,6.5,19503791,5.92,5621802,InsurTech,6,6.07,12,76.96,728,Founder_0032,2.7,5,5.77,24,synthetic,Startup_0032,2303960
2021,6.2,8,1.0,2,Raised $8.8M in recent funding round,Innovative ai/ml startup addressing supply chain in Kenya,SYNTH_0033,Supply Chain,"Operating in 2 countries, 29 team members",Kenya,5.9,46526291,7.16,6841581,AI/ML,10,8.1,9,77.4,671,Founder_0033,0.5,5,6.03,29,synthetic,Startup_0033,8823944
2019,7.4,9,0.6,4,Raised $2.8M in recent funding round,Innovative logistech startup addressing energy access in Ghana,SYNTH_0034,Energy Access,"Operating in 4 countries, 25 team members",Ghana,5.4,18708024,8.15,56042920,LogisTech,6,7.94,6,42.88,592,Founder_0034,11.4,4,6.35,25,synthetic,Startup_0034,2833431
2018,8.0,10,0.7,1,Raised $29.4M in recent funding round,Innovative fintech startup addressing agricultural efficiency in South Africa,SYNTH_0035,Agricultural Efficiency,"Operating in 1 countries, 33 team members",South Africa,8.3,122292615,7.45,6942381,FinTech,60,8.17,7,76.6,18409,Founder_0035,3.0,7,4.89,33,synthetic,Startup_0035,29441824
2021,7.7,10,0.5,2,Raised $1.2M in recent funding round,Innovative agritech startup addressing education gap in Ghana,SYNTH_0036,Education Gap,"Operating in 2 countries, 23 team members",Ghana,7.6,8711429,8.64,3560194,AgriTech,51,8.49,8,73.23,8809,Founder_0036,3.1,9,6.34,23,synthetic,Startup_0036,1187308
2017,7.2,8,0.6,2,Raised $3.3M in recent funding round,Innovative cleantech startup addressing agricultural efficiency in Tanzania,SYNTH_0037,Agricultural Efficiency,"Operating in 2 countries, 27 team members",Tanzania,5.5,10316018,7.78,1146021,CleanTech,19,8.84,7,71.83,16665,Founder_0037,3.3,6,6.73,27,synthetic,Startup_0037,3254939
2017,8.5,6,0.7,1,Raised $1.7M in recent funding round,Innovative e-commerce startup addressing education gap in South Africa,SYNTH_0038,Education Gap,"Operating in 1 countries, 21 team members",South Africa,6.2,5891889,7.08,6546815,E-commerce,85,4.05,8,73.42,27974,Founder_0038,7.4,2,5.45,21,synthetic,Startup_0038,1713469
2021,6.8,11,0.5,2,Raised $0.2M in recent funding round,Innovative agritech startup addressing financial inclusion in Ghana,SYNTH_0039,Financial Inclusion,"Operating in 2 countries, 26 team members",Ghana,6.1,1396554,7.76,157049006,AgriTech,56,5.98,6,100.0,2090,Founder_0039,5.3,3,7.71,26,synthetic,Startup_0039,154590
2017,6.0,11,0.6,2,Raised $2.1M in recent funding round,Innovative logistech startup addressing energy access in Senegal,SYNTH_0040,Energy Access,"Operating in 2 countries, 33 team members",Senegal,5.3,8883624,7.64,69208409,LogisTech,18,7.43,11,96.3,13015,Founder_0040,0.7,6,7.93,33,synthetic,Startup_0040,2070980
2017,7.3,9,1.0,2,Raised $0.4M in recent funding round,Innovative logistech startup addressing women empowerment in Ghana,SYNTH_0041,Women Empowerment,"Operating in 2 countries, 22 team members",Ghana,6.9,3049289,7.0,63019507,LogisTech,63,8.92,10,73.69,1276,Founder_0041,2.8,10,6.39,22,synthetic,Startup_0041,394309
2018,7.9,6,0.7,1,Raised $0.7M in recent funding round,Innovative logistech startup addressing supply chain in Tanzania,SYNTH_0042,Supply Chain,"Operating in 1 countries, 22 team members",Tanzania,5.8,6441771,7.5,8079422,LogisTech,6,8.12,12,90.28,3999,Founder_0042,1.3,6,6.27,22,synthetic,Startup_0042,707166
2022,4.4,7,1.0,2,Raised $4.3M in recent funding round,Innovative e-commerce startup addressing agricultural efficiency in Uganda,SYNTH_0043,Agricultural Efficiency,"Operating in 2 countries, 19 team members",Uganda,7.3,26946460,7.42,115380030,E-commerce,15,8.17,9,76.23,25546,Founder_0043,7.0,7,5.16,19,synthetic,Startup_0043,4270248
2015,7.2,11,0.8,4,Raised $0.4M in recent funding round,Innovative blockchain startup addressing healthcare access in Uganda,SYNTH_0044,Healthcare Access,"Operating in 4 countries, 32 team members",Uganda,5.8,1809345,8.2,3712600,Blockchain,27,7.86,5,86.1,1919,Founder_0044,9.5,8,7.52,32,synthetic,Startup_0044,356374
2016,8.2,10,0.9,2,Raised $10.0M in recent funding round,Innovative fintech startup addressing agricultural efficiency in Tanzania,SYNTH_0045,Agricultural Efficiency,"Operating in 2 countries, 30 team members",Tanzania,4.7,57280488,8.8,27860087,FinTech,170,7.78,4,80.52,850,Founder_0045,6.4,6,8.04,30,synthetic,Startup_0045,10028538
2016,5.6,4,0.6,1,Raised $16.2M in recent funding round,Innovative e-commerce startup addressing women empowerment in Cameroon,SYNTH_0046,Women Empowerment,"Operating in 1 countries, 31 team members",Cameroon,3.3,63812785,4.38,14676363,E-commerce,6,7.41,7,100.0,28910,Founder_0046,3.5,5,7.02,31,synthetic,Startup_0046,16152995
2016,5.7,8,0.8,2,Raised $3.6M in recent funding round,Innovative insurtech startup addressing education gap in Uganda,SYNTH_0047,Education Gap,"Operating in 2 countries, 25 team members",Uganda,5.8,30854400,6.68,41032987,InsurTech,7,6.21,7,100.0,3851,Founder_0047,2.7,5,7.15,25,synthetic,Startup_0047,3639899
2019,6.0,7,1.0,2,Raised $2.3M in recent funding round,Innovative insurtech startup addressing education gap in Senegal,SYNTH_0048,Education Gap,"Operating in 2 countries, 25 team members",Senegal,7.2,6943706,7.46,5283240,InsurTech,24,7.89,6,84.24,9073,Founder_0048,7.7,10,4.19,25,synthetic,Startup_0048,2297585
2021,7.0,8,0.8,1,Raised $9.0M in recent funding round,Innovative healthtech startup addressing rural connectivity in Uganda,SYNTH_0049,Rural Connectivity,"Operating in 1 countries, 27 team members",Uganda,5.9,77586304,8.16,27547903,HealthTech,67,8.64,5,63.75,2334,Founder_0049,4.7,3,7.93,27,synthetic,Startup_0049,8961593
2022,6.8,8,0.8,4,Raised $8.5M in recent funding round,Innovative logistech startup addressing healthcare access in South Africa,SYNTH_0050,Healthcare Access,"Operating in 4 countries, 26 team members",South Africa,4.1,35059671,7.92,2485339,LogisTech,62,8.88,5,69.39,285,Founder_0050,0.6,6,6.34,26,synthetic,Startup_0050,8529567
2016,8.4,4,0.5,1,Raised $2.6M in recent funding round,Innovative fintech startup addressing energy access in Cameroon,SYNTH_0051,Energy Access,"Operating in 1 countries, 36 team members",Cameroon,5.0,16109756,9.08,1212088,FinTech,39,7.17,11,75.08,4043,Founder_0051,0.3,5,7.13,36,synthetic,Startup_0051,2596715
2016,3.8,9,0.6,1,Raised $2.4M in recent funding round,Innovative cleantech startup addressing supply chain in Cameroon,SYNTH_0052,Supply Chain,"Operating in 1 countries, 22 team members",Cameroon,8.5,10833241,7.56,3428521,CleanTech,65,7.67,7,87.39,7521,Founder_0052,5.1,4,6.85,22,synthetic,Startup_0052,2386892
2023,6.5,5,0.4,3,Raised $4.5M in recent funding round,Innovative e-commerce startup addressing energy access in Uganda,SYNTH_0053,Energy Access,"Operating in 3 countries, 35 team members",Uganda,5.6,17756227,6.31,2688504,E-commerce,23,8.69,9,78.79,6671,Founder_0053,0.1,3,8.51,35,synthetic,Startup_0053,4455072
2018,9.4,7,0.7,1,Raised $7.4M in recent funding round,Innovative ai/ml startup addressing digital payment in Rwanda,SYNTH_0054,Digital Payment,"Operating in 1 countries, 21 team members",Rwanda,5.0,55698882,4.55,88645032,AI/ML,6,6.19,8,58.12,3962,Founder_0054,1.2,12,4.79,21,synthetic,Startup_0054,7442090
2020,8.7,8,0.4,3,Raised $1.8M in recent funding round,Innovative agritech startup addressing women empowerment in Senegal,SYNTH_0055,Women Empowerment,"Operating in 3 countries, 11 team members",Senegal,7.0,16319839,10.0,989436,AgriTech,6,6.83,3,48.24,9645,Founder_0055,6.1,8,9.21,11,synthetic,Startup_0055,1838086
2019,7.7,11,0.5,1,Raised $1.1M in recent funding round,Innovative blockchain startup addressing agricultural efficiency in Senegal,SYNTH_0056,Agricultural Efficiency,"Operating in 1 countries, 24 team members",Senegal,9.1,4940848,8.28,27149686,Blockchain,26,6.47,7,97.24,2319,Founder_0056,2.2,6,7.77,24,synthetic,Startup_0056,1116563
2020,8.0,12,0.9,6,Raised $1.7M in recent funding round,Innovative healthtech startup addressing education gap in Ghana,SYNTH_0057,Education Gap,"Operating in 6 countries, 17 team members",Ghana,4.8,8995392,7.98,932271,HealthTech,51,9.59,7,79.49,7406,Founder_0057,5.4,11,7.76,17,synthetic,Startup_0057,1681610
2018,6.6,7,0.7,2,Raised $7.9M in recent funding round,Innovative insurtech startup addressing agricultural efficiency in South Africa,SYNTH_0058,Agricultural Efficiency,"Operating in 2 countries, 27 team members",South Africa,6.4,27384727,8.03,4935581,InsurTech,10,9.68,8,89.71,1713,Founder_0058,7.3,7,7.77,27,synthetic,Startup_0058,7872630
2016,6.2,10,0.7,3,Raised $12.4M in recent funding round,Innovative logistech startup addressing rural connectivity in South Africa,SYNTH_0059,Rural Connectivity,"Operating in 3 countries, 28 team members",South Africa,4.6,76602973,7.67,352603593,LogisTech,28,7.99,8,73.55,2502,Founder_0059,16.1,7,7.39,28,synthetic,Startup_0059,12446043
2017,6.7,6,0.8,1,Raised $4.5M in recent funding round,Innovative edtech startup addressing financial inclusion in Kenya,SYNTH_0060,Financial Inclusion,"Operating in 1 countries, 21 team members",Kenya,6.9,41504310,6.16,7192922,EdTech,20,7.37,5,76.01,3052,Founder_0060,3.5,5,8.88,21,synthetic,Startup_0060,4539815
2016,6.9,13,0.6,4,Raised $6.4M in recent funding round,Innovative blockchain startup addressing rural connectivity in Nigeria,SYNTH_0061,Rural Connectivity,"Operating in 4 countries, 25 team members",Nigeria,5.4,27522833,9.59,2813711,Blockchain,21,7.28,12,100.0,1422,Founder_0061,5.3,4,5.84,25,synthetic,Startup_0061,6401363
2022,4.6,9,0.6,1,Raised $6.1M in recent funding round,Innovative fintech startup addressing agricultural efficiency in Rwanda,SYNTH_0062,Agricultural Efficiency,"Operating in 1 countries, 25 team members",Rwanda,7.0,45684995,6.76,565654,FinTech,17,8.27,9,100.0,3455,Founder_0062,5.4,7,8.41,25,synthetic,Startup_0062,6138414
2020,5.7,12,0.8,1,Raised $7.1M in recent funding round,Innovative cleantech startup addressing youth employment in Zimbabwe,SYNTH_0063,Youth Employment,"Operating in 1 countries, 24 team members",Zimbabwe,4.7,41610953,7.96,15189767,CleanTech,50,7.66,16,73.03,1666,Founder_0063,5.5,5,7.6,24,synthetic,Startup_0063,7090953
